year,week,net_revenue,unique_clients_week,gross_revenue,boxes,active_clients
2015,11,209760,807,236496,5882,25864.954096225527
2015,12,212888,808,239193,5949,25943.562390711955
2015,13,203349,726,229308,5719,25937.95393129389
2015,14,210214,687,235632,5897,25893.503630431394
2015,15,174607,582,197326,4941,25745.306828053246
2015,16,182827,678,209131,5245,25697.289175502123
2015,17,195807,607,221506,5510,25579.62562075298
2015,18,206157,666,234479,5793,25524.280178247736
2015,19,212097,658,235754,5826,25462.49547722118
2015,20,206203,720,232103,5690,25464.453104763503
2015,21,176810,606,197741,4852,25352.35552720918
2015,22,198653,687,223838,5490,25324.41910134188
2015,23,197455,560,218419,5376,25170.270482684045
2015,24,189076,617,211461,5166,25077.46885507235
2015,25,198341,656,223035,5441,25026.284233359296
2015,26,192227,673,217595,5287,24993.543017978576
2015,27,202910,652,227285,5542,24940.725104871577
2015,28,185586,614,208782,5076,24851.396656914218
2015,29,176928,628,199160,4846,24778.587271189215
2015,30,177844,615,201174,4863,24694.831110141695
2015,31,191343,548,212743,5185,24546.43687283567
2015,32,175846,615,196764,4763,24469.227353021728
2015,33,170926,635,194691,4704,24414.195141666525
2015,34,193711,713,222363,5355,24438.7148386715
2015,35,179165,628,203315,4888,24377.54308022098
2015,36,206890,659,233791,5619,24349.09636535875
2015,37,221975,725,256369,6162,24387.45184785564
2015,38,219729,929,257191,6147,24628.725705746114
2015,39,193416,832,225152,5358,24766.195640844056
2015,40,208583,696,235734,5642,24763.788923772256
2015,41,244582,977,276482,6614,25042.450076121877
2015,42,222744,908,254802,6082,25244.25298397524
2015,43,200860,835,228298,5443,25367.365049827145
2015,44,181387,770,207843,4971,25422.005355422007
2015,45,268920,1020,307287,7337,25725.104804399114
2015,46,232092,1026,270414,6427,26025.65684891506
2015,47,222652,949,259932,6160,26240.733325775655
2015,48,245756,1067,286294,6793,26567.74464598879
2015,49,265797,1187,310562,7321,27005.534246971896
2015,50,261247,888,295797,6988,27131.97818120729
2015,51,216590,541,240226,5492,26907.856396497253
2015,52,147896,387,165642,3929,26536.054846116036
