sales_quantity,times,Prob
1,118903.0,0.0
2,85432.0,0.7185016357871542
3,54333.0,0.635979492461841
4,39718.0,0.7310106196970534
5,31996.0,0.8055793343068633
6,26905.0,0.8408863607950994
7,23257.0,0.8644118193644305
8,20631.0,0.8870877585243152
9,18475.0,0.8954970675197518
10,16770.0,0.9077131258457375
11,15259.0,0.9098986285032796
12,14034.0,0.9197195097974965
13,12956.0,0.9231865469573892
14,12005.0,0.9265977153442421
15,11116.0,0.9259475218658892
16,10339.0,0.9301007556675063
17,9685.0,0.9367443659928426
18,9117.0,0.9413526071244191
19,8588.0,0.9419765273664583
20,8121.0,0.9456217978574756
21,7636.0,0.9402782908508804
22,7202.0,0.9431639601885804
23,6857.0,0.9520966398222716
24,6492.0,0.9467697243692577
25,6177.0,0.9514787430683919
26,5840.0,0.9454427715719605
27,5538.0,0.9482876712328767
28,5255.0,0.9488985193210545
29,4988.0,0.9491912464319695
30,4758.0,0.9538893344025662
31,4538.0,0.9537620849096259
32,4335.0,0.9552666372851476
33,4137.0,0.9543252595155709
34,3951.0,0.9550398839738942
35,3773.0,0.9549481144014174
36,3597.0,0.9533527696793003
37,3440.0,0.9563525159855435
38,3292.0,0.9569767441860465
39,3159.0,0.9595990279465371
40,3022.0,0.9566318455207344
41,2883.0,0.9540039708802118
42,2766.0,0.959417273673257
43,2664.0,0.9631236442516269
44,2530.0,0.9496996996996997
45,2424.0,0.958102766798419
46,2305.0,0.9509075907590759
47,2236.0,0.9700650759219089
48,2168.0,0.9695885509838998
49,2085.0,0.9617158671586716
50,2017.0,0.9673860911270983
51,1929.0,0.9563708477937531
52,1858.0,0.9631933644375325
53,1784.0,0.9601722282023681
54,1726.0,0.9674887892376681
55,1670.0,0.9675550405561993
56,1614.0,0.9664670658682635
57,1544.0,0.9566294919454771
58,1479.0,0.957901554404145
59,1413.0,0.9553752535496958
60,1352.0,0.9568294409058741
61,1299.0,0.9607988165680473
62,1237.0,0.9522709776751347
63,1185.0,0.957962813257882
64,1135.0,0.9578059071729957
65,1093.0,0.9629955947136564
66,1046.0,0.9569990850869168
67,1015.0,0.9703632887189293
68,985.0,0.9704433497536946
69,948.0,0.9624365482233502
70,926.0,0.9767932489451476
71,890.0,0.9611231101511879
72,867.0,0.9741573033707865
73,823.0,0.9492502883506344
74,788.0,0.9574726609963548
75,757.0,0.9606598984771574
76,720.0,0.9511228533685601
77,694.0,0.9638888888888889
78,668.0,0.962536023054755
79,646.0,0.9670658682634731
80,617.0,0.955108359133127
81,596.0,0.965964343598055
82,568.0,0.9530201342281879
83,543.0,0.9559859154929577
84,520.0,0.9576427255985267
85,499.0,0.9596153846153846
86,470.0,0.9418837675350702
87,452.0,0.9617021276595744
88,437.0,0.9668141592920354
89,422.0,0.965675057208238
90,404.0,0.957345971563981
91,382.0,0.9455445544554455
92,364.0,0.9528795811518325
93,347.0,0.9532967032967034
94,326.0,0.9394812680115274
95,317.0,0.9723926380368099
96,304.0,0.9589905362776026
97,288.0,0.9473684210526315
98,277.0,0.9618055555555556
99,268.0,0.9675090252707581
100,255.0,0.9514925373134329
101,246.0,0.9647058823529412
102,231.0,0.9390243902439024
103,221.0,0.9567099567099567
104,208.0,0.9411764705882353
105,192.0,0.9230769230769231
106,180.0,0.9375
107,171.0,0.95
108,156.0,0.9122807017543859
109,150.0,0.9615384615384616
110,144.0,0.96
111,138.0,0.9583333333333334
112,124.0,0.8985507246376812
113,113.0,0.9112903225806451
114,100.0,0.8849557522123894
115,90.0,0.9
116,83.0,0.9222222222222223
117,75.0,0.9036144578313253
118,74.0,0.9866666666666667
119,70.0,0.9459459459459459
120,67.0,0.9571428571428572
121,60.0,0.8955223880597015
122,59.0,0.9833333333333333
123,56.0,0.9491525423728814
124,50.0,0.8928571428571429
125,46.0,0.92
126,43.0,0.9347826086956522
127,38.0,0.8837209302325582
128,35.0,0.9210526315789473
129,29.0,0.8285714285714286
130,24.0,0.8275862068965517
131,21.0,0.875
132,19.0,0.9047619047619048
133,15.0,0.7894736842105263
134,13.0,0.8666666666666667
135,11.0,0.8461538461538461
136,10.0,0.9090909090909091
137,8.0,0.8
138,6.0,0.75
139,6.0,1.0
140,6.0,1.0
141,6.0,1.0
142,6.0,1.0
143,4.0,0.6666666666666666
144,4.0,1.0
145,3.0,0.75
146,2.0,0.6666666666666666
147,2.0,1.0
148,2.0,1.0
149,2.0,1.0
150,2.0,1.0
151,1.0,0.5
152,1.0,1.0
